solver,target_nfe,actual_nfe,steps,project_tangent,radial_w1,sliced_w1,angular_sw_mean,ks_stat,sample_time_s,nan_rate,drift_final_mean,drift_final_max,drift_traj_max_mean
heun,2,2,1,False,2.8222126960754395,0.2598767578601837,0.029398098587989807,0.6358974575996399,0.00099945068359375,0.0,2.73252272605896,5.5058207511901855,2.73252272605896
heun,5,4,2,True,0.3733353018760681,0.10509301722049713,0.015767315169796348,0.08205129206180573,0.002512693405151367,0.0,0.4656163454055786,1.4516239166259766,0.4656163454055786
heun,5,4,2,False,1.385402798652649,0.14663775265216827,0.01578065170906484,0.3282051682472229,0.002000570297241211,0.0,1.4007987976074219,4.35341215133667,1.4416793584823608
heun,10,10,5,True,0.08355061709880829,0.08813793212175369,0.015630957670509815,0.02905982732772827,0.007006168365478516,0.0,0.05571813881397247,0.13813209533691406,0.05571813881397247
heun,10,10,5,False,0.3452858626842499,0.08755028247833252,0.014924143673852086,0.08290599286556244,0.0029997825622558594,0.0,0.8902461528778076,3.8751220703125,0.8986138105392456
heun,20,20,10,True,0.10818935930728912,0.08497577160596848,0.014926482224836946,0.03589743375778198,0.01000213623046875,0.0,0.007438956294208765,0.017020225524902344,0.007438956294208765
heun,20,20,10,False,0.2962859869003296,0.08404892683029175,0.01406679698266089,0.056410253047943115,0.006511688232421875,0.0,0.8837894797325134,3.8336071968078613,0.8988823890686035
heun,50,50,25,True,0.1124906986951828,0.0843348428606987,0.014621919021010399,0.03846156597137451,0.022999286651611328,0.0,0.000488363963086158,0.0011806488037109375,0.000488363963086158
heun,50,50,25,False,0.2910154163837433,0.08364409953355789,0.013825399801135063,0.052136749029159546,0.016002416610717773,0.0,0.8855814337730408,3.824779510498047,0.9027953147888184
heun,100,100,50,True,0.11276418715715408,0.08425179123878479,0.014926332281902432,0.03846156597137451,0.04502725601196289,0.0,6.138769094832242e-05,0.000152587890625,6.138769094832242e-05
heun,100,100,50,False,0.2906724810600281,0.08361020684242249,0.01380127016454935,0.05042734742164612,0.0340123176574707,0.0,0.8860124349594116,3.8233046531677246,0.9035601019859314
rk4,1,4,1,True,0.6063811182975769,0.11056607216596603,0.015435636276379228,0.1230769157409668,0.0025014877319335938,0.0,0.6987469792366028,2.273967742919922,0.6987469792366028
rk4,1,4,1,False,0.7934847474098206,0.11245851218700409,0.01492107822559774,0.19999998807907104,0.0014989376068115234,0.0,1.0538522005081177,4.143755912780762,1.0538522005081177
rk4,2,4,1,True,0.6063811182975769,0.11056607216596603,0.015435636276379228,0.1230769157409668,0.0019974708557128906,0.0,0.6987469792366028,2.273967742919922,0.6987469792366028
rk4,2,4,1,False,0.7934847474098206,0.11245851218700409,0.01492107822559774,0.19999998807907104,0.0015001296997070312,0.0,1.0538522005081177,4.143755912780762,1.0538522005081177
rk4,5,4,1,True,0.6063811182975769,0.11056607216596603,0.015435636276379228,0.1230769157409668,0.0025048255920410156,0.0,0.6987469792366028,2.273967742919922,0.6987469792366028
rk4,5,4,1,False,0.7934847474098206,0.11245851218700409,0.01492107822559774,0.19999998807907104,0.001995086669921875,0.0,1.0538522005081177,4.143755912780762,1.0538522005081177
rk4,10,8,2,True,0.10752873867750168,0.08955729007720947,0.014855636050924659,0.035042762756347656,0.0034971237182617188,0.0,0.02650449052453041,0.15489578247070312,0.03142436221241951
rk4,10,8,2,False,0.2889840304851532,0.08828457444906235,0.014225549064576626,0.05811966210603714,0.002514362335205078,0.0,0.8880376219749451,3.8263931274414062,0.8962560892105103
rk4,20,20,5,True,0.1127704381942749,0.08420252054929733,0.014608821831643581,0.03760683536529541,0.00899195671081543,0.0,0.00048446410801261663,0.0028505325317382812,0.0010508638806641102
rk4,20,20,5,False,0.28979790210723877,0.08358345180749893,0.013742067851126194,0.05042734742164612,0.007010459899902344,0.0,0.886210024356842,3.8171353340148926,0.9006078839302063
rk4,50,48,12,True,0.1128053143620491,0.08422470837831497,0.014922446804121137,0.03846156597137451,0.020499229431152344,0.0,1.618230453459546e-05,0.00018978118896484375,3.293844565632753e-05
rk4,50,48,12,False,0.2905757427215576,0.08359997719526291,0.013246463378891349,0.05042734742164612,0.015017271041870117,0.0,0.886175811290741,3.822841167449951,0.9032460451126099
rk4,100,100,25,True,0.11280378699302673,0.08422476798295975,0.01492224563844502,0.03846156597137451,0.04899740219116211,0.0,9.479686013946775e-07,1.1444091796875e-05,2.0381733065732988e-06
rk4,100,100,25,False,0.2905915677547455,0.08360088616609573,0.013246471295133233,0.05042734742164612,0.0325014591217041,0.0,0.8861722350120544,3.8227829933166504,0.9036955833435059
