condition,method,status,metric,mean,std_population,std_sample,n
aniso_k10,B,complete,angular_sw_bin1,0.008943293864528338,0.0005640511830713836,0.0006908187936690353,3
aniso_k10,B,complete,angular_sw_bin2,0.009971094317734241,0.0016575656835901335,0.0020300950699717094,3
aniso_k10,B,complete,angular_sw_bin3,0.008821187540888786,0.0008969382446030883,0.0010985205150326072,3
aniso_k10,B,complete,angular_sw_mean,0.009745630590866009,0.0010385978082004458,0.0012720173390320414,3
aniso_k10,B,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k10,B,complete,inf_rate,0.0,0.0,0.0,3
aniso_k10,B,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k10,B,complete,ks_stat,0.012400031089782715,0.0,0.0,3
aniso_k10,B,complete,mmd,0.00042378902435302734,0.00021445047673759852,0.0002626471215518551,3
aniso_k10,B,complete,nan_rate,0.0,0.0,0.0,3
aniso_k10,B,complete,nfe,512,0.0,0.0,3
aniso_k10,B,complete,q950_err,0.00135930594366188,1.0222541350398801e-07,1.252000509148938e-07,3
aniso_k10,B,complete,q990_err,0.000807869116066771,9.035544786780487e-08,1.106623713783841e-07,3
aniso_k10,B,complete,q995_err,0.00998010381293132,7.532070064405205e-08,9.22486418234239e-08,3
aniso_k10,B,complete,radial_w1,0.07575120280186336,9.292506642078214e-09,1.138094985225757e-08,3
aniso_k10,B,complete,sample_time_s,0.282808281481266,0.0008157953767964865,0.0009991412038364658,3
aniso_k10,B,complete,sliced_w1,0.15405119955539703,0.033516650371153645,0.041049345648295425,3
aniso_k10,B,complete,tail_exc_95,0.000900001078844026,0.0,0.0,3
aniso_k10,B,complete,tail_exc_99,0.00010000005364418918,0.0,0.0,3
aniso_k10,B,complete,total_train_time_s,29.605324854453404,4.01658868403455,4.919296391260807,3
aniso_k10,C,complete,angular_sw_bin0,0.010773865195612112,0.0003740658344189862,0.0004581352122674687,3
aniso_k10,C,complete,angular_sw_bin1,0.008666954934597015,0.00018376029438411,0.00022505947811234732,3
aniso_k10,C,complete,angular_sw_bin2,0.0096492866675059,0.0006753026142739692,0.0008270734134693763,3
aniso_k10,C,complete,angular_sw_bin3,0.010028071701526642,0.00017676361005849342,0.00021649032486780254,3
aniso_k10,C,complete,angular_sw_mean,0.009779544624810418,0.0002972269396423167,0.00036402716996634477,3
aniso_k10,C,complete,exploding_norm_rate,0.0,0.0,0.0,3
aniso_k10,C,complete,inf_rate,0.0,0.0,0.0,3
aniso_k10,C,complete,invalid_rate,0.0,0.0,0.0,3
aniso_k10,C,complete,ks_stat,0.012400031089782715,0.0,0.0,3
aniso_k10,C,complete,mmd,0.0002702077229817708,5.594226069042783e-05,6.851499687465277e-05,3
aniso_k10,C,complete,nan_rate,0.0,0.0,0.0,3
aniso_k10,C,complete,nfe,512,0.0,0.0,3
aniso_k10,C,complete,q950_err,0.0013593059436618803,5.111270675204511e-08,6.26000254575095e-08,3
aniso_k10,C,complete,q990_err,0.0008079010615417232,1.5650022644763474e-07,1.9167284971336298e-07,3
aniso_k10,C,complete,q995_err,0.009980073063384047,8.697285358478934e-08,1.0651955637826232e-07,3
