condition,method,seed,status,metric,value,result_path
aniso_k1,A,77395,complete,angular_sw_bin2,0.00764791714027524,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,angular_sw_bin3,0.008650483563542366,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,angular_sw_mean,0.008231651620008051,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,ks_stat,0.010100007057189941,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,mmd,0.0001329183578491211,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,nfe,512,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,q950_err,0.0032144283596292527,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,q990_err,0.0008872112206024467,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,q995_err,0.0030266881263321583,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,radial_w1,0.012358883395791054,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,sample_time_s,0.18816044926643372,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,sliced_w1,0.021204235032200813,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,tail_exc_95,0.002500000596046492,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,tail_exc_99,0.0002000003680586726,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,77395,complete,total_train_time_s,31.802937000989914,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_77395/result.json
aniso_k1,A,65457,complete,angular_sw_bin0,0.00809653103351593,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,angular_sw_bin1,0.0082632377743721,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,angular_sw_bin2,0.007437889464199543,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,angular_sw_bin3,0.008747494779527187,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,angular_sw_mean,0.00813628826290369,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,exploding_norm_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,inf_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,invalid_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,ks_stat,0.010100007057189941,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,mmd,0.00014030933380126953,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
aniso_k1,A,65457,complete,nan_rate,0.0,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k1/A/seed_65457/result.json
