condition,method,seed,status,metric,value,result_path
aniso_k300,A,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/A/seed_77395/result.json
aniso_k300,A,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/A/seed_65457/result.json
aniso_k300,B,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/B/seed_8925/result.json
aniso_k300,B,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/B/seed_77395/result.json
aniso_k300,B,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/B/seed_65457/result.json
aniso_k300,C,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/C/seed_8925/result.json
aniso_k300,C,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/C/seed_77395/result.json
aniso_k300,C,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/aniso_k300/C/seed_65457/result.json
aniso_k300,tflow,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k300/seed_8925/result.json
aniso_k300,tflow,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k300/seed_77395/result.json
aniso_k300,tflow,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/aniso_k300/seed_65457/result.json
audiomnist_stft,A,8925,in_progress_or_interrupted,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/A/seed_8925/result.json
audiomnist_stft,A,1234,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/A/seed_1234/result.json
audiomnist_stft,A,7,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/A/seed_7/result.json
audiomnist_stft,B,8925,in_progress_or_interrupted,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/B/seed_8925/result.json
audiomnist_stft,B,1234,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/B/seed_1234/result.json
audiomnist_stft,B,7,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/B/seed_7/result.json
audiomnist_stft,C,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/C/seed_8925/result.json
audiomnist_stft,C,1234,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/C/seed_1234/result.json
audiomnist_stft,C,7,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/audiomnist_stft/C/seed_7/result.json
audiomnist_stft,tflow,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/audiomnist_stft/seed_8925/result.json
audiomnist_stft,tflow,1234,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/audiomnist_stft/seed_1234/result.json
audiomnist_stft,tflow,7,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/audiomnist_stft/seed_7/result.json
finance_ff49,A,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/A/seed_8925/result.json
finance_ff49,A,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/A/seed_77395/result.json
finance_ff49,A,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/A/seed_65457/result.json
finance_ff49,B,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/B/seed_8925/result.json
finance_ff49,B,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/B/seed_77395/result.json
finance_ff49,B,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/B/seed_65457/result.json
finance_ff49,C,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/C/seed_8925/result.json
finance_ff49,C,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/C/seed_77395/result.json
finance_ff49,C,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/finance_ff49/C/seed_65457/result.json
finance_ff49,tflow,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/finance_ff49/seed_8925/result.json
finance_ff49,tflow,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/finance_ff49/seed_77395/result.json
finance_ff49,tflow,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/finance_ff49/seed_65457/result.json
gaussian_aniso_d16_cor,A,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/A/seed_8925/result.json
gaussian_aniso_d16_cor,A,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/A/seed_77395/result.json
