condition,method,seed,status,metric,value,result_path
gaussian_aniso_d16_cor,A,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/A/seed_65457/result.json
gaussian_aniso_d16_cor,B,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/B/seed_8925/result.json
gaussian_aniso_d16_cor,B,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/B/seed_77395/result.json
gaussian_aniso_d16_cor,B,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/B/seed_65457/result.json
gaussian_aniso_d16_cor,C,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/C/seed_8925/result.json
gaussian_aniso_d16_cor,C,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/C/seed_77395/result.json
gaussian_aniso_d16_cor,C,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/gaussian_aniso_d16_cor/C/seed_65457/result.json
gaussian_aniso_d16_cor,tflow,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/gaussian_aniso_d16_cor/seed_8925/result.json
gaussian_aniso_d16_cor,tflow,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/gaussian_aniso_d16_cor/seed_77395/result.json
gaussian_aniso_d16_cor,tflow,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/gaussian_aniso_d16_cor/seed_65457/result.json
imagenette_dcae,A,8925,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/A/seed_8925/result.json
imagenette_dcae,A,1234,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/A/seed_1234/result.json
imagenette_dcae,A,7,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/A/seed_7/result.json
imagenette_dcae,B,8925,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/B/seed_8925/result.json
imagenette_dcae,B,1234,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/B/seed_1234/result.json
imagenette_dcae,B,7,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/B/seed_7/result.json
imagenette_dcae,C,8925,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/C/seed_8925/result.json
imagenette_dcae,C,1234,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/C/seed_1234/result.json
imagenette_dcae,C,7,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/imagenette_dcae/C/seed_7/result.json
imagenette_dcae,tflow,8925,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/imagenette_dcae/seed_8925/result.json
imagenette_dcae,tflow,1234,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/imagenette_dcae/seed_1234/result.json
imagenette_dcae,tflow,7,blocked,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/imagenette_dcae/seed_7/result.json
piv_d16,A,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/A/seed_8925/result.json
piv_d16,A,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/A/seed_77395/result.json
piv_d16,A,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/A/seed_65457/result.json
piv_d16,B,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/B/seed_8925/result.json
piv_d16,B,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/B/seed_77395/result.json
piv_d16,B,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/B/seed_65457/result.json
piv_d16,C,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/C/seed_8925/result.json
piv_d16,C,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/C/seed_77395/result.json
piv_d16,C,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d16/C/seed_65457/result.json
piv_d16,tflow,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/piv_d16/seed_8925/result.json
piv_d16,tflow,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/piv_d16/seed_77395/result.json
piv_d16,tflow,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_tflow_full/v2/final/piv_d16/seed_65457/result.json
piv_d256,A,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d256/A/seed_8925/result.json
piv_d256,A,77395,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d256/A/seed_77395/result.json
piv_d256,A,65457,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d256/A/seed_65457/result.json
piv_d256,B,8925,missing,,,/mnt/vast01/users/fouad.oubari/msgm/rafm-additions/outputs_rafm_input_study/v1/final/piv_d256/B/seed_8925/result.json
