dim,method,metric,mean,std,n_seeds
32.0,rafm_oracle,exploding_norm_rate,0,0,3
32.0,rafm_oracle,invalid_rate,0,0,3
32.0,rafm_oracle,ks_stat,0.0133333,0.00356495,3
32.0,rafm_oracle,mmd,0.000657439,0.000175925,3
32.0,rafm_oracle,nan_rate,0,0,3
32.0,rafm_oracle,nfe,512,0,3
32.0,rafm_oracle,q950_err,0.0110566,0.00612688,3
32.0,rafm_oracle,q990_err,0.0287857,0.0207114,3
32.0,rafm_oracle,q995_err,0.0249018,0.0233544,3
32.0,rafm_oracle,radial_w1,0.382904,0.0307332,3
32.0,rafm_oracle,sample_time_s,0.265564,0.0184714,3
32.0,rafm_oracle,sliced_w1,0.414867,0.0436972,3
32.0,rafm_oracle,tail_exc_95,0.00186667,0.00140079,3
32.0,rafm_oracle,tail_exc_99,0.00116667,0.000946338,3
32.0,rafm_oracle,total_train_time_s,33.7454,0.664256,3
32.0,source_only_empirical,angular_sw_bin0,0.0130582,0.0018874,3
32.0,source_only_empirical,angular_sw_bin1,0.0133673,0.00135293,3
32.0,source_only_empirical,angular_sw_bin2,0.0135096,0.00176063,3
32.0,source_only_empirical,angular_sw_bin3,0.0128992,0.00102647,3
32.0,source_only_empirical,angular_sw_mean,0.0132086,0.00116769,3
32.0,source_only_empirical,exploding_norm_rate,0,0,3
32.0,source_only_empirical,invalid_rate,0,0,3
32.0,source_only_empirical,ks_stat,0.0425,0.00480069,3
32.0,source_only_empirical,mmd,0.00142761,0.000344604,3
32.0,source_only_empirical,nan_rate,0,0,3
32.0,source_only_empirical,nfe,512,0,3
32.0,source_only_empirical,q950_err,0.0258381,0.0146807,3
32.0,source_only_empirical,q990_err,0.0589017,0.0283256,3
32.0,source_only_empirical,q995_err,0.0898203,0.0296799,3
32.0,source_only_empirical,radial_w1,1.2821,0.307698,3
32.0,source_only_empirical,sample_time_s,0.1887,0.0247013,3
32.0,source_only_empirical,sliced_w1,0.561322,0.0812548,3
32.0,source_only_empirical,tail_exc_95,0.00603333,0.00380555,3
32.0,source_only_empirical,tail_exc_99,0.00226667,0.00103709,3
32.0,source_only_empirical,total_train_time_s,18.5014,0.356261,3
64.0,gaussian_fm,angular_sw_bin0,0.0126202,0.000693994,3
64.0,gaussian_fm,angular_sw_bin1,0.0122011,0.00183806,3
64.0,gaussian_fm,angular_sw_bin2,0.0129988,0.0021331,3
64.0,gaussian_fm,angular_sw_bin3,0.0214104,0.00670083,3
64.0,gaussian_fm,angular_sw_mean,0.0148076,0.00268711,3
64.0,gaussian_fm,exploding_norm_rate,0,0,3
64.0,gaussian_fm,invalid_rate,0,0,3
64.0,gaussian_fm,ks_stat,0.164367,0.0234932,3
64.0,gaussian_fm,mmd,0.00474334,0.00120899,3
64.0,gaussian_fm,nan_rate,0,0,3
64.0,gaussian_fm,nfe,512,0,3
64.0,gaussian_fm,q950_err,0.241632,0.0166994,3
64.0,gaussian_fm,q990_err,0.406103,0.0213317,3
64.0,gaussian_fm,q995_err,0.497923,0.0216013,3
64.0,gaussian_fm,radial_w1,10.6461,0.639034,3
64.0,gaussian_fm,sample_time_s,0.140861,0.00583987,3
64.0,gaussian_fm,sliced_w1,1.5405,0.189013,3
64.0,gaussian_fm,tail_exc_95,0.0496667,0.000286744,3
64.0,gaussian_fm,tail_exc_99,0.01,0,3
64.0,gaussian_fm,total_train_time_s,17.3479,0.111269,3
64.0,rafm_empirical,angular_sw_bin0,0.0111997,0.00172667,3
64.0,rafm_empirical,angular_sw_bin1,0.00970282,0.00135336,3
64.0,rafm_empirical,angular_sw_bin2,0.00856736,0.00149258,3
64.0,rafm_empirical,angular_sw_bin3,0.00998038,0.00205144,3
64.0,rafm_empirical,angular_sw_mean,0.00986258,0.00164735,3
64.0,rafm_empirical,exploding_norm_rate,0,0,3
64.0,rafm_empirical,invalid_rate,0,0,3
64.0,rafm_empirical,ks_stat,0.0133333,0.00183726,3
64.0,rafm_empirical,mmd,0.00159554,0.00083499,3
64.0,rafm_empirical,nan_rate,0,0,3
64.0,rafm_empirical,nfe,512,0,3
64.0,rafm_empirical,q950_err,0.0240216,0.00516388,3
64.0,rafm_empirical,q990_err,0.0101341,0.00687557,3
64.0,rafm_empirical,q995_err,0.0513951,0.0124833,3
64.0,rafm_empirical,radial_w1,0.982115,0.121447,3
64.0,rafm_empirical,sample_time_s,0.252219,0.00504205,3
64.0,rafm_empirical,sliced_w1,0.84009,0.174357,3
64.0,rafm_empirical,tail_exc_95,0.00583333,0.00130979,3
64.0,rafm_empirical,tail_exc_99,0.000433333,0.00030912,3
64.0,rafm_empirical,total_train_time_s,32.715,0.0637984,3
64.0,rafm_oracle,angular_sw_bin0,0.0106715,0.000765906,3
64.0,rafm_oracle,angular_sw_bin1,0.0093625,0.00217905,3
64.0,rafm_oracle,angular_sw_bin2,0.00909873,0.00162097,3
64.0,rafm_oracle,angular_sw_bin3,0.00978325,0.00156694,3
64.0,rafm_oracle,angular_sw_mean,0.00972899,0.00151161,3
64.0,rafm_oracle,exploding_norm_rate,0,0,3
64.0,rafm_oracle,invalid_rate,0,0,3
64.0,rafm_oracle,ks_stat,0.0141333,0.00221559,3
64.0,rafm_oracle,mmd,0.00160603,0.000829567,3
64.0,rafm_oracle,nan_rate,0,0,3
64.0,rafm_oracle,nfe,512,0,3
64.0,rafm_oracle,q950_err,0.0117041,0.00764126,3
64.0,rafm_oracle,q990_err,0.0378323,0.0267253,3
64.0,rafm_oracle,q995_err,0.036725,0.026659,3
64.0,rafm_oracle,radial_w1,0.92879,0.0947966,3
64.0,rafm_oracle,sample_time_s,0.28307,0.0182224,3
64.0,rafm_oracle,sliced_w1,0.844181,0.172352,3
64.0,rafm_oracle,tail_exc_95,0.00303333,0.00212968,3
64.0,rafm_oracle,tail_exc_99,0.0013,0.000920145,3
64.0,rafm_oracle,total_train_time_s,32.87,0.115854,3
64.0,source_only_empirical,angular_sw_bin0,0.0128666,0.00319709,3
64.0,source_only_empirical,angular_sw_bin1,0.0118487,0.00274959,3
64.0,source_only_empirical,angular_sw_bin2,0.0111515,0.00309499,3
64.0,source_only_empirical,angular_sw_bin3,0.011538,0.00163038,3
64.0,source_only_empirical,angular_sw_mean,0.0118512,0.00265774,3
64.0,source_only_empirical,exploding_norm_rate,0,0,3
64.0,source_only_empirical,invalid_rate,0,0,3
64.0,source_only_empirical,ks_stat,0.166533,0.00619372,3
64.0,source_only_empirical,mmd,0.00400341,0.00157731,3
64.0,source_only_empirical,nan_rate,0,0,3
64.0,source_only_empirical,nfe,512,0,3
64.0,source_only_empirical,q950_err,0.0565596,0.00891198,3
64.0,source_only_empirical,q990_err,0.0224374,0.0224605,3
64.0,source_only_empirical,q995_err,0.0264531,0.0202731,3
64.0,source_only_empirical,radial_w1,9.21765,0.178203,3
64.0,source_only_empirical,sample_time_s,0.166704,0.00628985,3
64.0,source_only_empirical,sliced_w1,1.42799,0.192328,3
64.0,source_only_empirical,tail_exc_95,0.019,0.00354401,3
64.0,source_only_empirical,tail_exc_99,0.0011,0.000778888,3
64.0,source_only_empirical,total_train_time_s,18.1404,0.0987453,3
128.0,gaussian_fm,angular_sw_bin0,0.0331474,0.00447664,2
128.0,gaussian_fm,angular_sw_mean,0.0331474,0.00447664,2
128.0,gaussian_fm,exploding_norm_rate,0,0,3
128.0,gaussian_fm,invalid_rate,0,0,3
128.0,gaussian_fm,ks_stat,0.998733,0.000579272,3
128.0,gaussian_fm,mmd,0.090379,0.00303272,3
128.0,gaussian_fm,nan_rate,0,0,3
128.0,gaussian_fm,nfe,512,0,3
128.0,gaussian_fm,q950_err,0.637748,0.0099768,3
128.0,gaussian_fm,q990_err,0.708595,0.0102961,3
128.0,gaussian_fm,q995_err,0.748103,0.00888321,3
128.0,gaussian_fm,radial_w1,124.26,1.42483,3
128.0,gaussian_fm,sample_time_s,0.199039,0.0272842,3
128.0,gaussian_fm,sliced_w1,9.01696,0.147166,3
128.0,gaussian_fm,tail_exc_95,0.05,0,3
128.0,gaussian_fm,tail_exc_99,0.01,0,3
128.0,gaussian_fm,total_train_time_s,18.1081,0.171464,3
128.0,rafm_empirical,angular_sw_bin0,0.00625372,0.000164639,3
128.0,rafm_empirical,angular_sw_bin1,0.00602866,0.000335767,3
128.0,rafm_empirical,angular_sw_bin2,0.00575391,0.000224495,3
128.0,rafm_empirical,angular_sw_bin3,0.00607605,0.00016621,3
128.0,rafm_empirical,angular_sw_mean,0.00602809,0.000216434,3
128.0,rafm_empirical,exploding_norm_rate,0,0,3
128.0,rafm_empirical,invalid_rate,0,0,3
128.0,rafm_empirical,ks_stat,0.00880001,0.000355906,3
128.0,rafm_empirical,mmd,0.00108167,7.62031e-05,3
128.0,rafm_empirical,nan_rate,0,0,3
128.0,rafm_empirical,nfe,512,0,3
128.0,rafm_empirical,q950_err,0.0043695,0.00156118,3
128.0,rafm_empirical,q990_err,0.00831554,0.00566355,3
128.0,rafm_empirical,q995_err,0.0349472,0.0345041,3
128.0,rafm_empirical,radial_w1,0.850284,0.039929,3
128.0,rafm_empirical,sample_time_s,0.302225,0.0080025,3
128.0,rafm_empirical,sliced_w1,1.00709,0.0295815,3
128.0,rafm_empirical,tail_exc_95,0.0013,8.16486e-05,3
128.0,rafm_empirical,tail_exc_99,0.000733333,0.000410961,3
128.0,rafm_empirical,total_train_time_s,32.6862,0.0837546,3
128.0,rafm_oracle,angular_sw_bin0,0.00605153,0.00029331,3
128.0,rafm_oracle,angular_sw_bin1,0.00598625,0.000366801,3
128.0,rafm_oracle,angular_sw_bin2,0.00573952,0.000274089,3
128.0,rafm_oracle,angular_sw_bin3,0.00572093,0.000135106,3
128.0,rafm_oracle,angular_sw_mean,0.00587455,0.000203661,3
128.0,rafm_oracle,exploding_norm_rate,0,0,3
128.0,rafm_oracle,invalid_rate,0,0,3
128.0,rafm_oracle,ks_stat,0.0125,0.0019613,3
128.0,rafm_oracle,mmd,0.00108532,8.68647e-05,3
